repeat,mode,benchmark,metric,bytes,value
4,native,bandwidth,bandwidth_MBps,256,67.10
4,native,bandwidth,bandwidth_MBps,512,118.00
4,native,bandwidth,bandwidth_MBps,1024,232.85
4,native,bandwidth,bandwidth_MBps,2048,422.56
4,native,bandwidth,bandwidth_MBps,4096,780.70
4,native,bandwidth,bandwidth_MBps,8192,1385.46
4,native,bandwidth,bandwidth_MBps,16384,2280.30
4,native,bandwidth,bandwidth_MBps,32768,3508.32
4,native,bandwidth,bandwidth_MBps,65536,2800.90
4,native,bandwidth,bandwidth_MBps,131072,3137.34
4,native,bandwidth,bandwidth_MBps,262144,4088.61
4,native,bandwidth,bandwidth_MBps,524288,4952.17
4,native,bandwidth,bandwidth_MBps,1048576,5906.95
4,native,bandwidth,bandwidth_MBps,2097152,6121.37
4,native,bandwidth,bandwidth_MBps,4194304,6511.11
4,container,latency,latency_us,1,4.43
4,container,latency,latency_us,2,4.44
4,container,latency,latency_us,4,4.41
4,container,latency,latency_us,8,4.44
4,container,latency,latency_us,16,4.46
4,container,latency,latency_us,32,4.48
4,container,latency,latency_us,64,4.48
4,container,latency,latency_us,128,4.46
4,container,latency,latency_us,256,4.50
4,container,latency,latency_us,512,4.55
4,container,latency,latency_us,1024,4.66
4,container,latency,latency_us,2048,5.50
4,container,latency,latency_us,4096,5.97
4,container,latency,latency_us,8192,6.80
4,container,latency,latency_us,16384,8.72
4,container,latency,latency_us,32768,13.36
4,container,latency,latency_us,65536,29.30
4,container,latency,latency_us,131072,49.04
4,container,latency,latency_us,262144,64.81
4,container,latency,latency_us,524288,93.01
4,container,latency,latency_us,1048576,147.27
4,container,latency,latency_us,2097152,294.91
4,container,latency,latency_us,4194304,590.65
4,container,bandwidth,bandwidth_MBps,1,0.26
4,container,bandwidth,bandwidth_MBps,2,0.53
4,container,bandwidth,bandwidth_MBps,4,1.06
4,container,bandwidth,bandwidth_MBps,8,2.13
4,container,bandwidth,bandwidth_MBps,16,4.26
4,container,bandwidth,bandwidth_MBps,32,8.50
4,container,bandwidth,bandwidth_MBps,64,17.01
4,container,bandwidth,bandwidth_MBps,128,33.85
4,container,bandwidth,bandwidth_MBps,256,59.15
4,container,bandwidth,bandwidth_MBps,512,118.80
4,container,bandwidth,bandwidth_MBps,1024,234.44
4,container,bandwidth,bandwidth_MBps,2048,426.12
4,container,bandwidth,bandwidth_MBps,4096,787.47
4,container,bandwidth,bandwidth_MBps,8192,1395.35
4,container,bandwidth,bandwidth_MBps,16384,2301.14
4,container,bandwidth,bandwidth_MBps,32768,3519.86
4,container,bandwidth,bandwidth_MBps,65536,2830.66
4,container,bandwidth,bandwidth_MBps,131072,3167.12
4,container,bandwidth,bandwidth_MBps,262144,4045.95
4,container,bandwidth,bandwidth_MBps,524288,4839.24
4,container,bandwidth,bandwidth_MBps,1048576,5815.54
4,container,bandwidth,bandwidth_MBps,2097152,6077.29
4,container,bandwidth,bandwidth_MBps,4194304,6113.32
5,native,latency,latency_us,1,4.26
5,native,latency,latency_us,2,4.26
5,native,latency,latency_us,4,4.46
5,native,latency,latency_us,8,4.35
5,native,latency,latency_us,16,4.34
5,native,latency,latency_us,32,4.36
5,native,latency,latency_us,64,4.36
5,native,latency,latency_us,128,4.38
5,native,latency,latency_us,256,4.41
5,native,latency,latency_us,512,4.46
5,native,latency,latency_us,1024,4.55
5,native,latency,latency_us,2048,5.42
5,native,latency,latency_us,4096,5.90
5,native,latency,latency_us,8192,6.70
5,native,latency,latency_us,16384,8.52
5,native,latency,latency_us,32768,13.14
5,native,latency,latency_us,65536,30.36
5,native,latency,latency_us,131072,51.18
5,native,latency,latency_us,262144,64.82
5,native,latency,latency_us,524288,92.44
5,native,latency,latency_us,1048576,146.32
5,native,latency,latency_us,2097152,290.74
5,native,latency,latency_us,4194304,571.15
5,native,bandwidth,bandwidth_MBps,1,0.26
5,native,bandwidth,bandwidth_MBps,2,0.53
5,native,bandwidth,bandwidth_MBps,4,1.06
5,native,bandwidth,bandwidth_MBps,8,2.13
5,native,bandwidth,bandwidth_MBps,16,4.24
5,native,bandwidth,bandwidth_MBps,32,8.49
5,native,bandwidth,bandwidth_MBps,64,16.97
5,native,bandwidth,bandwidth_MBps,128,33.79
5,native,bandwidth,bandwidth_MBps,256,59.12
5,native,bandwidth,bandwidth_MBps,512,118.02
5,native,bandwidth,bandwidth_MBps,1024,235.09
5,native,bandwidth,bandwidth_MBps,2048,431.43
5,native,bandwidth,bandwidth_MBps,4096,792.84
5,native,bandwidth,bandwidth_MBps,8192,1398.68
5,native,bandwidth,bandwidth_MBps,16384,2315.81
5,native,bandwidth,bandwidth_MBps,32768,3526.17
5,native,bandwidth,bandwidth_MBps,65536,2814.92
5,native,bandwidth,bandwidth_MBps,131072,3114.68
5,native,bandwidth,bandwidth_MBps,262144,4057.30
5,native,bandwidth,bandwidth_MBps,524288,4921.18
5,native,bandwidth,bandwidth_MBps,1048576,5778.65
5,native,bandwidth,bandwidth_MBps,2097152,6035.25
5,native,bandwidth,bandwidth_MBps,4194304,6204.74
5,container,latency,latency_us,1,4.36
5,container,latency,latency_us,2,4.36
5,container,latency,latency_us,4,4.36
5,container,latency,latency_us,8,4.37
5,container,latency,latency_us,16,4.36
5,container,latency,latency_us,32,4.37
5,container,latency,latency_us,64,4.37
5,container,latency,latency_us,128,4.40
5,container,latency,latency_us,256,4.41
5,container,latency,latency_us,512,4.47
5,container,latency,latency_us,1024,4.60
5,container,latency,latency_us,2048,5.47
5,container,latency,latency_us,4096,5.94
5,container,latency,latency_us,8192,6.74
5,container,latency,latency_us,16384,8.61
5,container,latency,latency_us,32768,13.55
5,container,latency,latency_us,65536,31.19
5,container,latency,latency_us,131072,53.99
5,container,latency,latency_us,262144,66.91
5,container,latency,latency_us,524288,93.95
5,container,latency,latency_us,1048576,148.51
5,container,latency,latency_us,2097152,294.19
5,container,latency,latency_us,4194304,585.80
5,container,bandwidth,bandwidth_MBps,1,0.26
5,container,bandwidth,bandwidth_MBps,2,0.53
5,container,bandwidth,bandwidth_MBps,4,1.06
5,container,bandwidth,bandwidth_MBps,8,2.12
5,container,bandwidth,bandwidth_MBps,16,4.24
5,container,bandwidth,bandwidth_MBps,32,8.46
5,container,bandwidth,bandwidth_MBps,64,16.98
5,container,bandwidth,bandwidth_MBps,128,33.75
5,container,bandwidth,bandwidth_MBps,256,59.00
5,container,bandwidth,bandwidth_MBps,512,118.50
5,container,bandwidth,bandwidth_MBps,1024,232.58
5,container,bandwidth,bandwidth_MBps,2048,429.63
5,container,bandwidth,bandwidth_MBps,4096,786.81
5,container,bandwidth,bandwidth_MBps,8192,1389.27
5,container,bandwidth,bandwidth_MBps,16384,2306.56
5,container,bandwidth,bandwidth_MBps,32768,3495.94
5,container,bandwidth,bandwidth_MBps,65536,2809.50
5,container,bandwidth,bandwidth_MBps,131072,3159.86
5,container,bandwidth,bandwidth_MBps,262144,4050.09
5,container,bandwidth,bandwidth_MBps,524288,4943.95
5,container,bandwidth,bandwidth_MBps,1048576,5777.06
5,container,bandwidth,bandwidth_MBps,2097152,5967.20
5,container,bandwidth,bandwidth_MBps,4194304,6102.04
