mode,benchmark,metric,bytes,value
container,latency,latency_us,16384,39.83
container,latency,latency_us,32768,45.51
container,latency,latency_us,65536,79.84
container,latency,latency_us,131072,102.05
container,latency,latency_us,262144,138.56
container,latency,latency_us,524288,211.16
container,latency,latency_us,1048576,384.70
container,latency,latency_us,2097152,663.78
container,latency,latency_us,4194304,1222.98
container,latency,latency_us,1,15.63
container,latency,latency_us,2,15.64
container,latency,latency_us,4,15.65
container,latency,latency_us,8,15.67
container,latency,latency_us,16,15.75
container,latency,latency_us,32,15.77
container,latency,latency_us,64,15.92
container,latency,latency_us,128,16.16
container,latency,latency_us,256,17.84
container,latency,latency_us,512,18.00
container,latency,latency_us,1024,18.25
container,latency,latency_us,2048,30.43
container,latency,latency_us,4096,31.22
container,latency,latency_us,8192,32.40
container,latency,latency_us,16384,37.73
container,latency,latency_us,32768,45.32
container,latency,latency_us,65536,77.11
container,latency,latency_us,131072,103.37
container,latency,latency_us,262144,160.50
container,latency,latency_us,524288,209.72
container,latency,latency_us,1048576,376.96
container,latency,latency_us,2097152,652.32
container,latency,latency_us,4194304,1230.55
container,latency,latency_us,1,15.79
container,latency,latency_us,2,15.78
container,latency,latency_us,4,15.83
container,latency,latency_us,8,15.77
container,latency,latency_us,16,15.83
container,latency,latency_us,32,15.89
container,latency,latency_us,64,16.08
container,latency,latency_us,128,16.25
container,latency,latency_us,256,18.00
container,latency,latency_us,512,18.07
container,latency,latency_us,1024,18.37
container,latency,latency_us,2048,30.30
container,latency,latency_us,4096,31.47
container,latency,latency_us,8192,32.36
container,latency,latency_us,16384,39.91
container,latency,latency_us,32768,45.17
container,latency,latency_us,65536,81.40
container,latency,latency_us,131072,110.46
container,latency,latency_us,262144,152.37
container,latency,latency_us,524288,222.68
container,latency,latency_us,1048576,389.56
container,latency,latency_us,2097152,675.65
container,latency,latency_us,4194304,1210.74
container,bandwidth,bandwidth_MBps,1,0.48
container,bandwidth,bandwidth_MBps,2,0.96
container,bandwidth,bandwidth_MBps,4,1.90
container,bandwidth,bandwidth_MBps,8,3.85
container,bandwidth,bandwidth_MBps,16,7.82
container,bandwidth,bandwidth_MBps,32,14.80
container,bandwidth,bandwidth_MBps,64,30.04
container,bandwidth,bandwidth_MBps,128,56.89
container,bandwidth,bandwidth_MBps,256,115.33
container,bandwidth,bandwidth_MBps,512,209.10
container,bandwidth,bandwidth_MBps,1024,402.88
container,bandwidth,bandwidth_MBps,2048,745.94
container,bandwidth,bandwidth_MBps,4096,1319.27
container,bandwidth,bandwidth_MBps,8192,2082.67
container,bandwidth,bandwidth_MBps,16384,2499.61
container,bandwidth,bandwidth_MBps,32768,2689.88
container,bandwidth,bandwidth_MBps,65536,2810.47
container,bandwidth,bandwidth_MBps,131072,2525.16
container,bandwidth,bandwidth_MBps,262144,2969.34
container,bandwidth,bandwidth_MBps,524288,4043.80
container,bandwidth,bandwidth_MBps,1048576,3670.90
container,bandwidth,bandwidth_MBps,2097152,3342.38
container,bandwidth,bandwidth_MBps,4194304,3482.23
container,bandwidth,bandwidth_MBps,1,0.51
container,bandwidth,bandwidth_MBps,2,0.93
container,bandwidth,bandwidth_MBps,4,1.86
container,bandwidth,bandwidth_MBps,8,3.76
container,bandwidth,bandwidth_MBps,16,7.41
container,bandwidth,bandwidth_MBps,32,14.67
container,bandwidth,bandwidth_MBps,64,29.15
container,bandwidth,bandwidth_MBps,128,54.55
container,bandwidth,bandwidth_MBps,256,106.34
container,bandwidth,bandwidth_MBps,512,214.49
container,bandwidth,bandwidth_MBps,1024,406.51
container,bandwidth,bandwidth_MBps,2048,745.29
container,bandwidth,bandwidth_MBps,4096,1286.45
container,bandwidth,bandwidth_MBps,8192,2076.11
container,bandwidth,bandwidth_MBps,16384,2481.62
container,bandwidth,bandwidth_MBps,32768,2678.01
container,bandwidth,bandwidth_MBps,65536,2950.29
container,bandwidth,bandwidth_MBps,131072,2821.82
container,bandwidth,bandwidth_MBps,262144,2771.86
container,bandwidth,bandwidth_MBps,524288,3961.20
container,bandwidth,bandwidth_MBps,1048576,3845.27
container,bandwidth,bandwidth_MBps,2097152,3380.00
container,bandwidth,bandwidth_MBps,4194304,3526.25
