Final Orfeo run
RUN_DIR=/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715
Generated at: Sat Sep 12 08:17:44 CEST 2026

Jobs:
00_build_vec	1625040	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/00_build_vec
01_probe	1625041	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/01_probe
02_scaling	1625042	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/02_scaling
03_hybrid	1625043	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/03_hybrid
04_ablation	1625044	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/04_ablation
05_evidence	1625045	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/05_evidence
06_memory	1625046	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/06_memory
07_arch	1625047	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/07_arch
08_container	1625048	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/08_container
09_osu	1625049	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/09_osu

Slurm status:
JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
1625044.32   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.33   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.34   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.35   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.36   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.37   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.38   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.39   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.40   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.41   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.42   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.43   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.44   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.45   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.46   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.47   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.48   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.49   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 

JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
------------ ---------- ---------- -------- ---------- ---------- --------------- 
1625045      evidence_+  COMPLETED      0:0   00:03:13         64        genoa003 
1625045.bat+      batch  COMPLETED      0:0   00:03:13         64        genoa003 
1625045.ext+     extern  COMPLETED      0:0   00:03:13         64        genoa003 
1625045.0    nbody_dir+  COMPLETED      0:0   00:00:10          8        genoa003 
1625045.1    nbody_dir+  COMPLETED      0:0   00:00:09          8        genoa003 
1625045.2    nbody_dir+  COMPLETED      0:0   00:00:10          8        genoa003 
1625045.3    nbody_dir+  COMPLETED      0:0   00:00:09          8        genoa003 
1625045.4    nbody_dir+  COMPLETED      0:0   00:00:10          8        genoa003 
1625045.5    nbody_dir+  COMPLETED      0:0   00:00:09          8        genoa003 
1625045.6    nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.7    nbody_dir+  COMPLETED      0:0   00:00:07          8        genoa003 
1625045.8    nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.9    nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.10   nbody_dir+  COMPLETED      0:0   00:00:07          8        genoa003 
1625045.11   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.12   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.13   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.14   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.15   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.16   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.17   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625045.18   nbody_dir+  COMPLETED      0:0   00:00:05          8        genoa003 
